# column 1: diameter d [A]
# column 2: cumulative pore volume
# column 3: PSD
# value at d=0 is related to the void-fraction
0.05 0.7852 -0
0.15 0.7852 0.001
0.25 0.7851 0.002
0.35 0.785 0.005
0.45 0.7846 0.006
0.55 0.7844 0.009
0.65 0.7837 0.012
0.75 0.7832 0.006
0.85 0.7831 0.005
0.95 0.7827 0.012
1.05 0.7819 0.016
1.15 0.7811 0.011
1.25 0.7808 0.008
1.35 0.7803 0.01
1.45 0.7798 0.015
1.55 0.7788 0.015
1.65 0.7783 0.012
1.75 0.7776 0.016
1.85 0.7767 0.018
1.95 0.7758 0.013
2.05 0.7754 0.017
2.15 0.7741 0.025
2.25 0.7729 0.026
2.35 0.7715 0.028
2.45 0.7701 0.026
2.55 0.7689 0.024
2.65 0.7677 0.026
2.75 0.7663 0.034
2.85 0.7643 0.038
2.95 0.7625 0.04
3.05 0.7603 0.04
3.15 0.7585 0.036
3.25 0.7567 0.04
3.35 0.7545 0.043
3.45 0.7524 0.035
3.55 0.751 0.035
3.65 0.7489 0.043
3.75 0.7467 0.048
3.85 0.7441 0.045
3.95 0.7422 0.033
4.05 0.7408 0.034
4.15 0.7388 0.038
4.25 0.737 0.038
4.35 0.735 0.035
4.45 0.7335 0.034
4.55 0.7316 0.039
4.65 0.7296 0.034
4.75 0.7282 0.034
4.85 0.7262 0.035
4.95 0.7247 0.032
5.05 0.723 0.029
5.15 0.7218 0.023
5.25 0.7207 0.025
5.35 0.7193 0.03
5.45 0.7177 0.028
5.55 0.7165 0.024
5.65 0.7153 0.027
5.75 0.7138 0.028
5.85 0.7125 0.027
5.95 0.7111 0.026
6.05 0.7099 0.02
6.15 0.7091 0.02
6.25 0.7079 0.022
6.35 0.7069 0.022
6.45 0.7057 0.02
6.55 0.7049 0.02
6.65 0.7037 0.029
6.75 0.702 0.027
6.85 0.701 0.021
6.95 0.6999 0.03
7.05 0.698 0.031
7.15 0.6968 0.028
7.25 0.6952 0.025
7.35 0.6943 0.025
7.45 0.6927 0.03
7.55 0.6913 0.03
7.65 0.6897 0.039
7.75 0.6874 0.042
7.85 0.6855 0.035
7.95 0.6839 0.035
8.05 0.682 0.045
8.15 0.6794 0.048
8.25 0.6772 0.045
8.35 0.6749 0.038
8.45 0.6734 0.035
8.55 0.6714 0.044
8.65 0.669 0.037
8.75 0.6677 0.032
8.85 0.6658 0.043
8.95 0.6634 0.042
9.05 0.6616 0.031
9.15 0.6603 0.028
9.25 0.6588 0.033
9.35 0.657 0.039
9.45 0.6549 0.046
9.55 0.6524 0.042
9.65 0.6507 0.04
9.75 0.6484 0.045
9.85 0.6462 0.041
9.95 0.6443 0.041
10.05 0.6421 0.043
10.15 0.64 0.042
10.25 0.6379 0.042
10.35 0.6358 0.054
10.45 0.6325 0.057
10.55 0.6301 0.054
10.65 0.6271 0.059
10.75 0.6242 0.106
10.85 0.6165 0.217
10.95 0.6025 0.379
11.05 0.5786 0.584
11.15 0.5441 0.748
11.25 0.5038 0.769
11.35 0.4672 0.596
11.45 0.4442 0.339
11.55 0.4333 0.132
11.65 0.431 0.043
11.75 0.429 0.035
11.85 0.4275 0.023
11.95 0.4267 0.022
12.05 0.4253 0.036
12.15 0.4231 0.034
12.25 0.4219 0.02
12.35 0.4211 0.022
12.45 0.4197 0.034
12.55 0.4177 0.033
12.65 0.4164 0.025
12.75 0.4152 0.021
12.85 0.4143 0.014
12.95 0.4138 0.016
13.05 0.4127 0.026
13.15 0.4112 0.025
13.25 0.4102 0.026
13.35 0.4086 0.034
13.45 0.4068 0.039
13.55 0.4047 0.045
13.65 0.4023 0.046
13.75 0.4001 0.041
13.85 0.3982 0.042
13.95 0.3959 0.052
14.05 0.393 0.076
14.15 0.3883 0.164
14.25 0.3766 0.382
14.35 0.3501 0.727
14.45 0.3039 1.191
14.55 0.231 1.578
14.65 0.1461 1.613
