# column 1: diameter d [A]
# column 2: cumulative pore volume
# column 3: PSD
# value at d=0 is related to the void-fraction
0.05 0.8327 -0
0.15 0.8327 -0
0.25 0.8327 0.001
0.35 0.8326 0.004
0.45 0.8323 0.004
0.55 0.8322 0.002
0.65 0.8321 0.004
0.75 0.8318 0.007
0.85 0.8314 0.011
0.95 0.8307 0.008
1.05 0.8306 0.007
1.15 0.83 0.014
1.25 0.8292 0.017
1.35 0.8283 0.014
1.45 0.8278 0.01
1.55 0.8273 0.013
1.65 0.8265 0.016
1.75 0.8257 0.017
1.85 0.8248 0.012
1.95 0.8245 0.009
2.05 0.8239 0.016
2.15 0.8229 0.019
2.25 0.822 0.019
2.35 0.821 0.02
2.45 0.82 0.02
2.55 0.819 0.017
2.65 0.8183 0.017
2.75 0.8173 0.018
2.85 0.8165 0.019
2.95 0.8154 0.024
3.05 0.8141 0.021
3.15 0.8133 0.018
3.25 0.8123 0.015
3.35 0.8118 0.016
3.45 0.8107 0.017
3.55 0.8101 0.014
3.65 0.8093 0.022
3.75 0.8079 0.021
3.85 0.8072 0.018
3.95 0.8061 0.021
4.05 0.8051 0.024
4.15 0.8037 0.027
4.25 0.8024 0.026
4.35 0.8011 0.023
4.45 0.8001 0.021
4.55 0.799 0.019
4.65 0.7982 0.017
4.75 0.7973 0.018
4.85 0.7964 0.022
4.95 0.7951 0.023
5.05 0.7941 0.018
5.15 0.7933 0.02
5.25 0.7921 0.02
5.35 0.7913 0.018
5.45 0.7903 0.021
5.55 0.7892 0.019
5.65 0.7884 0.019
5.75 0.7873 0.022
5.85 0.7862 0.016
5.95 0.7857 0.014
6.05 0.7848 0.017
6.15 0.784 0.016
6.25 0.7832 0.015
6.35 0.7825 0.018
6.45 0.7814 0.016
6.55 0.7809 0.015
6.65 0.7799 0.025
6.75 0.7784 0.032
6.85 0.7767 0.03
6.95 0.7754 0.026
7.05 0.7741 0.028
7.15 0.7726 0.024
7.25 0.7717 0.019
7.35 0.7707 0.022
7.45 0.7695 0.023
7.55 0.7684 0.025
7.65 0.767 0.024
7.75 0.766 0.024
7.85 0.7646 0.036
7.95 0.7624 0.036
8.05 0.761 0.03
8.15 0.7594 0.032
8.25 0.7578 0.032
8.35 0.7562 0.033
8.45 0.7545 0.025
8.55 0.7537 0.023
8.65 0.7522 0.028
8.75 0.7509 0.043
8.85 0.7479 0.041
8.95 0.7468 0.028
9.05 0.7451 0.041
9.15 0.7427 0.043
9.25 0.7408 0.036
9.35 0.7391 0.036
9.45 0.7372 0.037
9.55 0.7354 0.04
9.65 0.7332 0.045
9.75 0.7309 0.051
9.85 0.7281 0.066
9.95 0.7243 0.079
10.05 0.7202 0.082
10.15 0.7161 0.093
10.25 0.7109 0.163
10.35 0.6998 0.303
10.45 0.6806 0.371
10.55 0.6627 0.292
10.65 0.6514 0.174
10.75 0.6453 0.099
10.85 0.6415 0.065
10.95 0.6388 0.062
11.05 0.6353 0.061
11.15 0.6327 0.046
11.25 0.6307 0.045
11.35 0.6282 0.057
11.45 0.625 0.057
11.55 0.6225 0.051
11.65 0.6199 0.048
11.75 0.6177 0.051
11.85 0.6148 0.064
11.95 0.6113 0.075
12.05 0.6073 0.067
12.15 0.6046 0.072
12.25 0.6001 0.082
12.35 0.5964 0.082
12.45 0.5919 0.089
12.55 0.5875 0.085
12.65 0.5834 0.087
12.75 0.5788 0.093
12.85 0.5741 0.09
12.95 0.5698 0.103
13.05 0.5638 0.124
13.15 0.5574 0.143
13.25 0.5495 0.189
13.35 0.5385 0.22
13.45 0.5275 0.231
13.55 0.5154 0.245
13.65 0.503 0.238
13.75 0.4916 0.217
13.85 0.4813 0.295
13.95 0.4621 0.587
14.05 0.4226 0.913
14.15 0.3708 0.687
14.25 0.3539 0.176
14.35 0.3532 0.01
14.45 0.3529 0.016
14.55 0.3516 0.021
14.65 0.3508 0.012
14.75 0.3504 0.011
14.85 0.3497 0.014
14.95 0.349 0.01
15.05 0.3487 0.006
15.15 0.3484 0.005
15.25 0.3482 0.004
15.35 0.348 0.003
15.45 0.3479 0.005
15.55 0.3475 0.007
15.65 0.3472 0.009
15.75 0.3466 0.011
15.85 0.3461 0.009
15.95 0.3457 0.01
16.05 0.3451 0.013
16.15 0.3444 0.01
16.25 0.3441 0.005
16.35 0.3439 0.004
16.45 0.3437 0.007
16.55 0.3432 0.009
